arauna_dex,symbol,pt,en
205,Salitre,Cristaliza sozinho em salinas. Doce e amargo ao mesmo tempo.,It crystallises by itself in salt flats. Sweet and bitter at once.
206,Enxofrino,Cheiro de ovo podre. Cresce em fumarolas.,It smells of rotten egg. It grows in volcanic vents.
207,Argilim,Se molda em qualquer forma. Vira Boneco quando um humano brinca.,"It moulds into any shape, and becomes Boneco when a child plays with it."
208,Boneco,Argila animada por brincadeiras de criança. Guarda memórias afetivas.,Clay brought to life by a child's game. It keeps the memories fondly.
209,Estalactite,Cresce uma gota por século. Se ofende se chamada de estalagmite.,"It grows a drop a century, and takes offence at being called a stalagmite."
210,Estalagmite,Cresce apontando pra cima. Nao gosta de estalactites.,"It grows pointing upward, and does not care for stalactites."
211,Fossil,Osso de dinossauro que voltou a andar. Ninguém sabe como.,A dinosaur bone that started walking again. Nobody knows how.
212,Meteorito,Caiu do céu há milênios. Ainda quente ao toque.,"It fell out of the sky millennia ago, and is still warm to the touch."
213,Vulcanite,Formada em erupçao antiga. Guarda calor por séculos.,Formed in an ancient eruption. It holds its heat for centuries.
214,Marmim,Escultura clássica ganhou vida por magia. Elegantíssimo.,A classical sculpture brought to life by magic. Utterly elegant.
215,Granito,Rachaduras naturais formam rostos zangados.,Its natural cracks make the shapes of angry faces.
216,Caranguim,Bebê caranguejo saltitante. Pinça já mordisca dedos.,A hopping baby crab. Its claw already nips fingers.
217,Guaiamum,Vive em tocas no manguezal. Sai à noite em bandos.,It lives in mangrove burrows and comes out at night in groups.
218,Siri,Nada de lado. Pinças azuis brilhantes.,It swims sideways. Its claws are a brilliant blue.
219,Camarao,Nada em bandos rosados. Delícia grelhada - segundo turistas.,"It swims in pink shoals. Delicious grilled, so the tourists say."
220,Polvim,Muda de cor pra combinar com o fundo do mar. Solta tinta.,"It changes colour to match the sea floor, and squirts ink."
221,Polvao,8 braços resolvem quebra-cabeças. Abre potes com tampa.,Eight arms that solve puzzles. It opens jars with lids.
222,Aguaviva,Tentáculos urticantes de metros. Flutua com as correntes.,Stinging tentacles metres long. It drifts with the current.
223,CavalimMarinho,Macho engravida e cuida dos filhotes. Nada em pé.,The male carries and raises the young. It swims upright.
224,Tartaruguim,Nasce na praia e corre pro mar por instinto. Frágil demais.,It hatches on the beach and runs for the sea on instinct. Terribly fragile.
225,Tartaruga,Vive 100 anos. Volta à praia onde nasceu pra desovar.,"It lives a hundred years, returning to lay on the beach where it hatched."
226,Golfinho,Salta em piruetas. Se comunica em cliques agudos.,It leaps in pirouettes and talks in high clicks.
227,Baleia,Canta cançoes que percorrem oceanos. Migra sazonalmente.,"It sings songs that cross oceans, and migrates with the seasons."
228,Tubarim,Já nasce nadando e caçando. Sem infância.,It is born already swimming and hunting. It has no childhood.
229,Tubarao,Rei do mar. Dentes serrilhados regeneram infinitamente.,King of the sea. Its serrated teeth grow back forever.
230,Arraia,Se camufla no fundo. Choque paralisa banhistas descuidados.,It hides on the bottom. Its shock paralyses careless bathers.
231,PeixeEspada,Rostro em forma de espada. Perfura cascos de barco.,A bill shaped like a sword. It runs through the hulls of boats.
232,Pargo,Escamas vermelhas brilham no sol. Cardume gigante nos recifes.,Red scales flashing in the sun. Huge shoals over the reefs.
233,Pescadao,Antena com isca luminosa engana peixes menores.,A lit lure on its antenna fools smaller fish.
234,Loirinha,Aparece em espelhos de escolas à noite. Chama seu nome.,"It appears in school mirrors at night, calling its own name."
235,Cuca,Rouba crianças que nao dormem. Nem sempre é real.,It takes children who will not sleep. It is not always real.
236,BichoPapao,Vive embaixo de camas. Só assusta crianças desobedientes.,"It lives under beds, and frightens only disobedient children."
237,Lobisomem,Sétimo filho homem em lua cheia. Uivo faz caes fugirem.,The seventh son under a full moon. Its howl sends dogs running.
238,CorpoSeco,Alma tao ruim que nem a terra aceita. Vaga eternamente.,A soul so bad the earth will not have it. It wanders forever.
239,MaoPeluda,Mao gigante peluda sai debaixo da cama. Pega os pés.,A giant hairy hand comes out from under the bed and takes your feet.
240,PernaCabeluda,Perna cabeluda anda sozinha à noite. Persegue solitários.,"A hairy leg walks alone at night, following anyone out on their own."
241,Comadre,Espírito de mulher que morreu no parto. Sequestra bebês.,The spirit of a woman who died in childbirth. She takes babies.
242,Anhanga,Protetor dos animais. Amaldiçoa caçadores gulosos.,Protector of animals. It curses hunters who take more than their share.
243,Jurupari,Deus tupi da noite. Só homens podem ver o rosto.,The Tupi god of night. Only men may see his face.
244,Tupa,Deus supremo tupi-guarani. Solta relâmpagos com um piscar.,The supreme Tupi-Guarani god. He looses lightning with a blink.
245,Jaci,Deusa da lua. Cabelo prateado brilha nas noites de lua cheia.,Goddess of the moon. Her silver hair shines on full-moon nights.
246,Guaraci,Deus do sol. Coroa dourada ilumina Arauana inteira.,God of the sun. His golden crown lights the whole of Arauana.
247,Ruda,Deus do amor. Flecha de flor faz coraçoes se encontrarem.,God of love. His flower arrow brings two hearts together.
248,Alua,Espírito da bebida fermentada. Alegra festas em pajelanças.,Spirit of fermented drink. It brightens the feasts of the healers.
249,Jenipapo,Tinta preta que dura semanas na pele. Pinta padroes de bênçao.,Black paint that lasts weeks on the skin. It draws patterns of blessing.
250,Urucum,Tinta vermelha ancestral. Repele insetos.,An ancestral red paint. It keeps insects away.
251,Caipora,Monta em porco-do-mato. Protege a caça - persegue caçadores que exageram.,It rides a wild boar. It guards the game and hunts down greedy hunters.
252,AnhangaPita,Forma vermelha do Anhangá quando enfurecido.,The red form Anhangá takes when it is enraged.
253,YaraPinda,Yara em forma de pescadora. Ensina jovens a respeitar o rio.,Yara as a fisherwoman. She teaches the young to respect the river.
254,Pisadeira,Pisa no peito de quem dorme de barriga cheia. Paralisia.,It stands on the chest of anyone who sleeps on a full stomach. Paralysis.
255,Zumbi,Espírito líder de quilombo. Inspira coragem em quem luta pela liberdade.,The spirit that led a quilombo. It puts courage in whoever fights to be free.
256,IemanjaPequena,Forma jovem da deusa Iemanjá. Rege marés menores.,The young form of the goddess Iemanjá. She rules the smaller tides.
257,Ossanha,Domina o poder das folhas medicinais. Cura Pokémon envenenados.,"It commands the power of healing leaves, and cures poisoned Pokémon."
258,Oxala,"Espírito criador. Vestido de branco, benze quem se aproxima.","The creator spirit. Dressed in white, it blesses whoever comes near."
259,Saciamigo,Filhote de Saci. Ainda nao domina os redemoinhos.,A young Saci. It has not mastered the whirlwinds yet.
260,Saciperere,"Chapéu vermelho, cachimbo, uma perna. Solto pelo folclore inteiro.","Red cap, pipe, one leg. Loose through the whole of folklore."
261,CurupiraAnciao,Curupira anciao cabeludo. Sabe onde toda árvore ancestral cresce.,A long-haired elder Curupira. It knows where every ancient tree grows.
262,CaiporaFemea,Forma feminina do Caipora. Ainda mais rígida com caçadores gulosos.,"The female form of Caipora, and harder still on greedy hunters."
263,PombaGira,Espírito feminino sedutor. Ri alto nas encruzilhadas.,A seductive female spirit. She laughs loudly at the crossroads.
264,Exu,Guardiao das encruzilhadas. Nada passa sem seu aval.,Guardian of the crossroads. Nothing passes without his leave.
265,PretoVelho,Espírito ancestral. Fuma cachimbo e dá conselhos milenares.,An ancestral spirit. It smokes a pipe and gives thousand-year-old advice.
266,CabocloGuerreiro,Guerreiro indígena espectral. Cocar de penas coloridas.,A spectral indigenous warrior in a headdress of bright feathers.
267,Marinheiro,Espírito de marujo afogado. Conta histórias de tempestades.,The spirit of a drowned sailor. It tells stories of storms.
268,Baiano,Espírito festeiro. Toca berimbau sem parar.,A festive spirit. It plays the berimbau without stopping.
269,Cangaceiro,Espírito de Lampiao. Chapéu de couro tachonado.,"The spirit of Lampiao, in a studded leather hat."
270,Beata,Espírito de Padre Cícero. Benze com terço de mandacaru.,The spirit of Padre Cicero. It blesses with a rosary of cactus beads.
271,MeninoDeus,Espírito de criança inocente. Aparece em folias de reis.,The spirit of an innocent child. It appears in the Kings' revels.
272,ReiMomo,Rei do carnaval. Trono de purpurina.,"King of carnival, on a throne of glitter."
273,BumbaMeuBoi,Espírito do boi de folia. Ressuscita em cada apresentaçao.,The spirit of the festival ox. It rises again at every performance.
274,Reisado,Espírito folia de reis. Sanfona toca sozinha.,A spirit of the Kings' revel. Its accordion plays by itself.
275,Frevinho,Espírito do frevo pernambucano. Dança acrobática sem parar.,The spirit of the Pernambuco frevo. It dances acrobatically without pause.
276,Maracatu,Cortejo real espectral. Coroa dourada e vestes bordadas.,"A spectral royal procession, in a gold crown and embroidered robes."
277,Congada,Espírito guerreiro em cortejo. Bastoes batem em ritmo.,A warrior spirit in procession. Its staves beat in rhythm.
278,Foliao,Espírito que percorre festas. Nunca cansa de dançar.,A spirit that goes from feast to feast. It never tires of dancing.
279,Oncuma,Onça-preta lendária. Deusa das florestas noturnas.,The legendary black jaguar. Goddess of the night forests.
280,Sucuriacu,Sucuri de 10 metros. Engole capivaras inteiras.,A ten-metre anaconda. It swallows capybaras whole.
281,Pirarumba,Pirarucu-rei. 5 metros e escamas de armadura.,"The king pirarucu. Five metres, with scales like armour."
282,DraguaraAlfa,Draguará alfa da matilha lendária. Fogo turquesa esverdeado.,The alpha Draguará of the legendary pack. Its fire burns green-turquoise.
283,TerolibraRainha,Rainha enorme dos Terolibra. Comanda enxames.,The enormous Terolibra queen. She commands the swarms.
284,PetropicoAnciao,Petropico centenário. Bico esculpiu chapadas inteiras.,A hundred-year-old Petropico. Its beak carved whole plateaus.
285,BoitataPuro,Boitatá primordial. Fogo azul que devora bosques inteiros.,The first Boitatá. Blue fire that devours entire woods.
286,IaraMae,Iara mae de todas. Canto ouvido só uma vez por vida.,"Iara, mother of them all. Her song is heard once in a lifetime."
287,CurupiraRei,Curupira rei da floresta. Cabelos de fogo cor de urucum.,The Curupira king of the forest. His hair is fire the colour of urucum.
288,SaciRei,Saci-Pererê ancestral. Chapéu vermelho lendário.,"The ancestral Saci-Pererê, in the legendary red cap."
289,Anhangau,Anhangá supremo. Veados brancos o seguem.,The supreme Anhangá. White deer walk behind it.
290,MuiraKyta,Amor amazônico convertido em árvore.,An Amazonian love turned into a tree.
291,CobraNorato,Homem-serpente. Boiuna vira homem nas festas.,The snake-man. Boiuna takes human shape at the feasts.
292,Mapinguari,"Preguiça-gigante primordial. Boca no peito, cheiro de morte.","The primordial giant sloth. A mouth in its chest, and the smell of death."
293,Ipupiara,Homem-peixe canibal. Terror dos pescadores antigos.,A cannibal fish-man. The terror of the old fishermen.
294,Uirapuru,Ave lendária. Canto silencia toda a mata quando canta.,A legendary bird. The whole forest falls silent when it sings.
295,Muiraquita,Amuleto verde-jade das Icamiabas. Traz sorte em batalhas.,The jade-green amulet of the Icamiabas. It brings luck in battle.
296,Amazona,Guerreira sem seio esquerdo pra atirar arco. Rainha de tribo lendária.,"A warrior without her left breast, the better to draw a bow. Queen of a legendary tribe."
297,CorcovadoAnciao,Corcovado antigo. Costa cheia de árvores primárias.,An ancient Corcovado. Its back is covered in old-growth forest.
298,Cristo,Espírito de maos abertas. Abençoa quem vê o nascer do sol.,A spirit with open hands. It blesses whoever sees the sun rise.
299,Ratao,Vive em esgotos. Come qualquer coisa.,It lives in the sewers and eats anything at all.
300,Pombim,Fura sacos de lixo. Cocô arruína estátuas.,It rips open rubbish bags. Its droppings ruin statues.
301,Pombao,Pomba enorme. Domina praças inteiras.,An enormous pigeon. It rules whole town squares.
302,Baratao,Barata voadora do apocalipse. Voa em direçao a pessoas gritando.,The flying cockroach of the apocalypse. It flies straight at screaming people.
303,Mosquim,Rajadinho listrado. Transmite doenças.,A streaked brown rat. It carries disease.
304,CaoBravo,Contraparte selvagem do Caramelo. Vive em bando defendendo território.,The wild counterpart of Caramelo. It runs in packs and defends its ground.
305,GatoPreto,Diz que dá azar cruzar caminho. Diz.,They say it is bad luck if it crosses your path. They say.
306,Perereca,Aparece em vasos sanitários. Salta na cara de quem senta.,It turns up in toilet bowls and jumps at the face of whoever sits down.
307,Lagartixa,Come mosquitos. Rabo cai e continua se mexendo.,It eats mosquitoes. Its tail drops off and keeps moving.
308,TracaPapel,Come papel antigo. Absorve o conhecimento dos livros.,"It eats old paper, taking in the knowledge of the books."
309,Poeirao,Bola de poeira ambulante. Aumenta em salas fechadas.,A walking ball of dust. It grows in shut rooms.
310,Ferrugem,Come metal de dentro. Pontes desabam sem aviso.,It eats metal from the inside. Bridges fall without warning.
311,Fumacento,Nuvem de fumaça de ônibus. Escurece céus urbanos.,A cloud of bus exhaust. It darkens city skies.
312,Oleoso,Mancha de vazamento. Mata Pokémon marinhos.,An oil slick given shape. It kills sea Pokémon.
313,Lixao,Pilha viva de lixo urbano. Vira Chorume quando chove.,A living heap of city rubbish. Rain turns it into Chorume.
314,Chorume,Líquido preto que sai do lixao. Envenena tudo por onde passa.,The black liquid that seeps from the dump. It poisons all it touches.
315,Bituca,Ainda queima quando jogada. Causa incêndios em pastos.,Still burning when thrown away. It starts fires in the pastures.
316,Latinha,Vive procurando outra Latinha pra brigar. Recompensa quem recicla.,It roams looking for another Latinha to fight. It rewards whoever recycles.
317,Sacolim,Voa com o vento. Enrosca em árvores por décadas.,"It rides the wind, and catches in trees for decades."
318,Garrafao,Vive boiando em rios. Desce até o mar.,It drifts down the rivers all the way to the sea.
319,Netzero,Ave feita de plástico do estômago. Símbolo da poluiçao.,A bird made of the plastic in its own stomach. The emblem of pollution.
320,Pilhoso,Vaza ácido corrosivo. Nao deve ser tocada.,It leaks a corrosive acid. It should not be handled.
321,Cabofio,Fios elétricos emaranhados. Curto-circuito ambulante.,A tangle of live wires. A walking short circuit.
322,Bugao,Bug urbano gigante. Aparece em cozinhas mal cuidadas.,A giant city bug. It shows up in badly kept kitchens.
323,Aluminio,Papel alumínio dobrado voa como pipa.,Folded kitchen foil that flies like a kite.
324,Concretim,Pedaço de calçada quebrada. Tropeça pessoas.,A piece of broken pavement. It trips people.
325,Bueiro,Espírito das águas residuais. Sobe em enchentes.,The spirit of waste water. It rises in the floods.
326,Sinal,Semáforo que muda de cor sem motivo. Causa confusao no trânsito.,"A traffic light that changes for no reason, snarling up the junction."
327,Poste,Poste de luz que anda. Ilumina ruas escuras.,"A lamp post that walks, lighting the dark streets."
328,Grafiteiro,Espírito da arte urbana. Muda de forma conforme o desenho.,The spirit of street art. It changes shape with the drawing.
329,Guaraciana,Consorte de Guaraci. Brilha ao amanhecer.,Consort of Guaraci. It shines at daybreak.
330,Jaciana,Consorte de Jaci. Brilha à meia-noite.,Consort of Jaci. It shines at midnight.
331,Tupanau,Tupan em forma primordial. Um trovao só destrói montes.,Tupan in his first form. A single thunderclap levels hills.
332,Iarau,Iara em forma suprema. Rio inteiro obedece ao canto.,Iara at her greatest. A whole river obeys her song.
333,Kuarahy,Sol dos primeiros dias. Deu vida ao continente.,The sun of the first days. It gave the continent life.
334,Yasy,Lua dos primeiros dias. Rege marés e sonhos.,The moon of the first days. It rules tides and dreams.
335,Rudarauna,Amor primordial. Une casais destinados.,Love in its first form. It binds the couples that were meant to be.
336,Perybe,"Espírito da bacia amazônica inteira. Um só corpo, milhares de afluentes.","The spirit of the whole Amazon basin. One body, a thousand tributaries."
337,Arauanau,Guardiao supremo da regiao. Só aparece quando Arauana está em perigo.,Supreme guardian of the region. It appears only when Arauana is in danger.
338,Verdejante,Espírito da mata atlântica primordial. Brota das cinzas de queimadas.,The spirit of the first Atlantic forest. It sprouts from the ash of burnings.
339,Chuvao,Espírito da chuva de dezembro. Encharca Arauana em três dias.,The spirit of the December rain. It soaks Arauana in three days.
340,Solzao,Espírito da estiagem. Queima os campos por meses.,The spirit of the drought. It burns the fields for months.
341,Ventania,Vento sul que traz frio no inverno. Assobia melodias mortais.,"The south wind that brings the winter cold, whistling deadly tunes."
342,Terraao,"Terra fértil ambulante. Onde pisa, brota lavoura.","Walking fertile earth. Where it steps, a crop comes up."
343,Fogareu,Fogo primordial que aqueceu Arauana no início.,"The first fire, which warmed Arauana at the beginning."
344,Marulho,Espírito do oceano Atlântico. Ondas obedecem seu compasso.,The spirit of the Atlantic. The waves keep his time.
345,Alvorecer,Espírito do amanhecer. Cor rosa dourada preenche o céu.,The spirit of daybreak. A rose and gold that fills the sky.
346,Poente,Espírito do pôr do sol. Cores queimadas em fim de tarde.,"The spirit of sunset, and its burnt colours at the end of the day."
347,Estrelinha,Estrela cadente que fez ninho. Faz desejos se realizarem.,A shooting star that made a nest. It grants wishes.
348,Arauanamon,Encarnaçao de toda a regiao de Arauana. Só existe um.,The whole region of Arauana made flesh. There is only one.
349,Aracua,Grita ao amanhecer alertando o bando. Serve de despertador da mata.,It shouts at dawn to warn the troop. The alarm clock of the forest.
350,Bugio,Uiva ao alvorecer. Marca território a quilômetros.,It howls at first light. It marks its ground for kilometres.
351,Tuim,Menor papagaio do Brasil. Voa em bandos verdes ruidosos.,The smallest parrot in Brazil. It flies in loud green flocks.
352,Periquitao,Papagaio esperdo. Imita vozes humanas para enganar predadores.,A clever parrot. It mimics human voices to fool predators.
353,Ararunao,Arara azul de bico curvo. Casais permanecem juntos por toda a vida.,A blue macaw with a hooked bill. Pairs stay together for life.
354,Preazinho,Roedor tímido de olhos redondos. Vive em tocas nos campos.,A shy round-eyed rodent. It lives in burrows out in the fields.
355,Capivarao,O maior roedor do mundo. Serve de assento pra aves e macacos.,The largest rodent in the world. Birds and monkeys use it as a seat.
356,Tamandui,Filhote monta nas costas da mae até crescer. Lambe formigas o dia inteiro.,The young rides on its mother's back until grown. It licks ants all day.
357,Tamandua,Língua pegajosa de 60cm. Cheira formigueiro a quilômetros.,A sticky tongue sixty centimetres long. It smells an ant nest kilometres off.
358,Tamanduao,Garras dianteiras enormes. Espanta onças de pé em pé.,Enormous front claws. It sees off jaguars standing upright.
359,Preguicinha,Move-se tao devagar que musgo cresce no pelo.,It moves so slowly that moss grows in its fur.
360,Preguicoso,Dorme 20 horas por dia. Sonhos alteram o clima ao redor.,It sleeps twenty hours a day. Its dreams change the weather around it.
361,BeijaFlor,Bate as asas 80 vezes por segundo. Bebe néctar em pleno voo.,Its wings beat eighty times a second. It drinks nectar in mid-air.
362,BeijaLuz,Penas refletem luz solar em espectros iridescentes.,Its feathers throw sunlight back in iridescent bands.
363,BeijaSol,Núcleo do peito guarda uma centelha do próprio sol.,The core in its chest holds a spark of the sun itself.
364,Sarara,Cabelos loiros cacheados. Traz sorte a quem pesca perto.,Curly blonde hair. It brings luck to anyone fishing nearby.
365,Cambota,Ginga sem parar. Chuta enquanto dança.,"It sways without stopping, and kicks while it dances."
366,Berimbau,Cabaça viva que toca sozinha. Impoe o ritmo da roda.,A living gourd that plays itself. It sets the rhythm of the circle.
367,Atabaque,Cada batida faz o chao tremer. Marca o compasso do candomblé.,Every beat shakes the ground. It keeps the time of the candomblé.
368,Pandeirim,Rodopia sozinho tocando samba.,"It spins on its own, playing samba."
369,Sanfoninha,Sopra melodias que fazem quem escuta chorar de saudade.,It blows tunes that make the listener weep with longing.
370,Violeiro,Viola caipira ambulante. Canta modas de causos antigos.,A walking country guitar. It sings the old tales in verse.
371,Zabumba,Tambor grave que puxa o forró. Faz coraçoes baterem em compasso.,A deep drum that pulls the forró along. It sets hearts beating in time.
372,Cordelim,Panfleto de cordel que se lê sozinho em voz alta.,A cordel pamphlet that reads itself aloud.
373,Rendeira,Tece rendas invisíveis que capturam sonhos ruins.,It weaves invisible lace that catches bad dreams.
374,Escamoso,Pele coberta de escamas afiadas. Pescadores respeitam.,Its skin is covered in sharp scales. Fishermen treat it with respect.
375,Piranhita,Nada em cardumes de dezenas. Come vaca inteira em minutos.,It swims in shoals of dozens. They eat a whole cow in minutes.
376,Boitata,Cobra de fogo que castiga quem queima a mata. Olhos brasas.,A snake of fire that punishes whoever burns the forest. Its eyes are coals.
377,Piraruacu,Pirarucu ancestral. Um único golpe de cauda esvazia um lago.,The ancestral pirarucu. One stroke of its tail empties a lake.
378,MataMata,Cágado antigo. Casco esconde uma floresta em miniatura.,An ancient turtle. Its shell hides a forest in miniature.
379,Solaris,Corpo é uma esfera solar viva. Apaga estrelas ao surgir.,Its body is a living sphere of sun. Stars go out when it rises.
380,Selene,Corpo é uma lua crescente prateada. Domina marés e sonhos.,Its body is a silver crescent moon. It rules tides and dreams.
381,ZumbiRei,Rei de Palmares reencarnado. Símbolo da liberdade.,The king of Palmares returned. The emblem of freedom.
382,Iemanja,Rainha do mar. Recebe oferendas em fevereiro.,Queen of the sea. She receives her offerings in February.
383,Oxumara,Serpente arco-íris. Une céu e terra em ponte colorida.,The rainbow serpent. It bridges earth and sky in colour.
384,Curupixel,Filhote de Curupira em forma primordial. Só aparece a crianças puras.,A young Curupira in its first form. It shows itself only to pure children.
385,Sacinho,Saci recém-nascido. Redemoinhos onde passa.,A newborn Saci. Whirlwinds follow wherever it goes.
386,Araua,O primeiro Pokémon de Arauana. Contém a essência de toda a regiao.,The first Pokémon of Arauana. It holds the essence of the whole region.
