dex,name,types,englishCategory,habitat,englishDex,hp,attack,defense,spAttack,spDefense,speed,sourceAbilities,evolution,sourceInspiration,artOrigin,referenceStatus,editableFolder,frontSprite,backSprite,icon,normalPalette,shinyPalette,productionProfile
62,Prego,fighting/normal,Toolmaker,Arauna Atlantic Forest,"Found in Arauna Atlantic Forest, Prego is known as the Toolmaker POKéMON. It carries a distinct Fighting/Normal affinity.",66,71,65,65,65,72,Determinação | Coragem,#063 (Level 30),Macaco-prego adulto,reference-front-plus-reconstructed-back,available,062_prego,062_prego/anim_front.png,062_prego/back.png,062_prego/icon.png,062_prego/normal.pal,062_prego/shiny.pal,062_prego/candidate_profile.json
63,Pregarcanjo,fighting/psychic,Sage,Arauna Atlantic Forest,"Pregarcanjo lives in Arauna Atlantic Forest. This Fighting/Psychic POKéMON embodies a part of Brazil's nature, folklore, or culture.",90,95,90,95,90,95,Determinação | Coragem,,Macaco-prego ancião,reference-front-plus-reconstructed-back,available,063_pregarcanjo,063_pregarcanjo/anim_front.png,063_pregarcanjo/back.png,063_pregarcanjo/icon.png,063_pregarcanjo/normal.pal,063_pregarcanjo/shiny.pal,063_pregarcanjo/candidate_profile.json
64,Aranin,bug,Threads,Arauna Cerrado,"Aranin, the Threads POKéMON, inhabits Arauna Cerrado. Its Bug nature reflects Brazil's wildlife and legends.",43,52,44,45,45,55,Enxame | Olho Composto,#065 (Level 36),Aranha filhote,reference-front-plus-reconstructed-back,available,064_aranin,064_aranin/anim_front.png,064_aranin/back.png,064_aranin/icon.png,064_aranin/normal.pal,064_aranin/shiny.pal,064_aranin/candidate_profile.json
65,Caraninha,bug/poison,Hairy,Arauna Cerrado,"Found in Arauna Cerrado, Caraninha is known as the Hairy POKéMON. It carries a distinct Bug/Poison affinity.",67,70,66,65,65,72,Enxame | Olho Composto,#066 (Level 40),Caranguejeira jovem,reference-front-plus-reconstructed-back,available,065_caraninha,065_caraninha/anim_front.png,065_caraninha/back.png,065_caraninha/icon.png,065_caraninha/normal.pal,065_caraninha/shiny.pal,065_caraninha/candidate_profile.json
66,Caranga,bug/poison,Hairy,Arauna Cerrado,"Caranga lives in Arauna Cerrado. This Bug/Poison POKéMON embodies a part of Brazil's nature, folklore, or culture.",80,105,85,95,90,95,Enxame | Olho Composto,,Caranguejeira adulta,reference-front-plus-reconstructed-back,available,066_caranga,066_caranga/anim_front.png,066_caranga/back.png,066_caranga/icon.png,066_caranga/normal.pal,066_caranga/shiny.pal,066_caranga/candidate_profile.json
67,Gatim,normal,Mewing,Arauna Atlantic Forest,"Gatim, the Mewing POKéMON, inhabits Arauna Atlantic Forest. Its Normal nature reflects Brazil's wildlife and legends.",44,51,44,45,45,55,Faro | Placidez,#068 (Level 22),Gato-do-mato filhote,reference-front-plus-reconstructed-back,available,067_gatim,067_gatim/anim_front.png,067_gatim/back.png,067_gatim/icon.png,067_gatim/normal.pal,067_gatim/shiny.pal,067_gatim/candidate_profile.json
68,Gato-do-mato,normal/dark,Stealth,Arauna Atlantic Forest,"Found in Arauna Atlantic Forest, Gato-do-mato is known as the Stealth POKéMON. It carries a distinct Normal/Dark affinity.",88,97,89,95,90,95,Faro | Placidez,,Gato-do-mato adulto,reference-front-plus-reconstructed-back,available,068_gato-do-mato,068_gato-do-mato/anim_front.png,068_gato-do-mato/back.png,068_gato-do-mato/icon.png,068_gato-do-mato/normal.pal,068_gato-do-mato/shiny.pal,068_gato-do-mato/candidate_profile.json
69,Jaguatirica,dark/normal,Spotted,Arauna Atlantic Forest,"Jaguatirica lives in Arauna Atlantic Forest. This Dark/Normal POKéMON embodies a part of Brazil's nature, folklore, or culture.",68,82,70,75,72,78,Intimidação | Cara de Mau,,Jaguatirica,reference-front-plus-reconstructed-back,available,069_jaguatirica,069_jaguatirica/anim_front.png,069_jaguatirica/back.png,069_jaguatirica/icon.png,069_jaguatirica/normal.pal,069_jaguatirica/shiny.pal,069_jaguatirica/candidate_profile.json
70,Cutim,normal,Rodent,Arauna Atlantic Forest,"Cutim, the Rodent POKéMON, inhabits Arauna Atlantic Forest. Its Normal nature reflects Brazil's wildlife and legends.",45,50,45,45,45,55,Faro | Placidez,#071 (Level 36),Cutia filhote,reference-front-plus-reconstructed-back,available,070_cutim,070_cutim/anim_front.png,070_cutim/back.png,070_cutim/icon.png,070_cutim/normal.pal,070_cutim/shiny.pal,070_cutim/candidate_profile.json
71,Cutia,normal,Rodent,Arauna Atlantic Forest,"Found in Arauna Atlantic Forest, Cutia is known as the Rodent POKéMON. It carries a distinct Normal affinity.",89,96,90,95,90,95,Faro | Placidez,,Cutia adulta,reference-front-plus-reconstructed-back,available,071_cutia,071_cutia/anim_front.png,071_cutia/back.png,071_cutia/icon.png,071_cutia/normal.pal,071_cutia/shiny.pal,071_cutia/candidate_profile.json
72,Paca,normal/dark,Nocturnal,Arauna Atlantic Forest,"Paca lives in Arauna Atlantic Forest. This Normal/Dark POKéMON embodies a part of Brazil's nature, folklore, or culture.",69,81,70,75,72,78,Faro | Placidez,,Paca noturna,reference-front-plus-reconstructed-back,available,072_paca,072_paca/anim_front.png,072_paca/back.png,072_paca/icon.png,072_paca/normal.pal,072_paca/shiny.pal,072_paca/candidate_profile.json
73,Formigão,bug/fighting,Jaw,Arauna Amazon,"Formigão, the Jaw POKéMON, inhabits Arauna Amazon. Its Bug/Fighting nature reflects Brazil's wildlife and legends.",73,77,72,75,72,78,Enxame | Olho Composto,,Formiga-cabo-verde,reference-front-plus-reconstructed-back,available,073_formigao,073_formigao/anim_front.png,073_formigao/back.png,073_formigao/icon.png,073_formigao/normal.pal,073_formigao/shiny.pal,073_formigao/candidate_profile.json
74,Marimbondo,bug/poison,Stinger,Arauna Cerrado,"Found in Arauna Cerrado, Marimbondo is known as the Stinger POKéMON. It carries a distinct Bug/Poison affinity.",77,73,74,75,72,78,Enxame | Olho Composto,,Vespa social,reference-front-plus-reconstructed-back,available,074_marimbondo,074_marimbondo/anim_front.png,074_marimbondo/back.png,074_marimbondo/icon.png,074_marimbondo/normal.pal,074_marimbondo/shiny.pal,074_marimbondo/candidate_profile.json
75,Abelhinha,bug/flying,Honey,Arauna Cerrado,"Abelhinha lives in Arauna Cerrado. This Bug/Flying POKéMON embodies a part of Brazil's nature, folklore, or culture.",70,80,71,75,72,78,Enxame | Olho Composto,,Abelha-jataí,reference-front-plus-reconstructed-back,available,075_abelhinha,075_abelhinha/anim_front.png,075_abelhinha/back.png,075_abelhinha/icon.png,075_abelhinha/normal.pal,075_abelhinha/shiny.pal,075_abelhinha/candidate_profile.json
76,Quatim,normal,Long-Snout,Arauna Atlantic Forest,"Quatim, the Long-Snout POKéMON, inhabits Arauna Atlantic Forest. Its Normal nature reflects Brazil's wildlife and legends.",47,48,46,45,45,55,Faro | Placidez,#077 (Level 36),Quati filhote,reference-front-plus-reconstructed-back,available,076_quatim,076_quatim/anim_front.png,076_quatim/back.png,076_quatim/icon.png,076_quatim/normal.pal,076_quatim/shiny.pal,076_quatim/candidate_profile.json
77,Quati,normal/dark,Thief,Arauna Atlantic Forest,"Found in Arauna Atlantic Forest, Quati is known as the Thief POKéMON. It carries a distinct Normal/Dark affinity.",80,105,85,95,90,95,Faro | Placidez,,Quati adulto,reference-front-plus-reconstructed-back,available,077_quati,077_quati/anim_front.png,077_quati/back.png,077_quati/icon.png,077_quati/normal.pal,077_quati/shiny.pal,077_quati/candidate_profile.json
78,Coati,dark/ground,Cave,Arauna Caves,"Coati lives in Arauna Caves. This Dark/Ground POKéMON embodies a part of Brazil's nature, folklore, or culture.",71,79,71,75,72,78,Intimidação | Cara de Mau,,Quati das cavernas,reference-front-plus-reconstructed-back,available,078_coati,078_coati/anim_front.png,078_coati/back.png,078_coati/icon.png,078_coati/normal.pal,078_coati/shiny.pal,078_coati/candidate_profile.json
79,Gambá,poison/normal,Stench,Arauna Atlantic Forest,"Gambá, the Stench POKéMON, inhabits Arauna Atlantic Forest. Its Poison/Normal nature reflects Brazil's wildlife and legends.",48,47,46,45,45,55,Ponto Cego | Corpo Fedido,#080 (Level 22),Gambá cheiroso,reference-front-plus-reconstructed-back,available,079_gamba,079_gamba/anim_front.png,079_gamba/back.png,079_gamba/icon.png,079_gamba/normal.pal,079_gamba/shiny.pal,079_gamba/candidate_profile.json
80,Cangambá,poison/dark,Noxious,Arauna Cerrado,"Found in Arauna Cerrado, Cangambá is known as the Noxious POKéMON. It carries a distinct Poison/Dark affinity.",81,104,86,95,90,95,Ponto Cego | Corpo Fedido,,Cangambá listrado,reference-front-plus-reconstructed-back,available,080_cangamba,080_cangamba/anim_front.png,080_cangamba/back.png,080_cangamba/icon.png,080_cangamba/normal.pal,080_cangamba/shiny.pal,080_cangamba/candidate_profile.json
81,Sarué,poison/ghost,Trickster,Arauna Cerrado,"Sarué lives in Arauna Cerrado. This Poison/Ghost POKéMON embodies a part of Brazil's nature, folklore, or culture.",72,78,72,75,72,78,Ponto Cego | Corpo Fedido,,Gambá-de-orelha-preta,reference-front-plus-reconstructed-back,available,081_sarue,081_sarue/anim_front.png,081_sarue/back.png,081_sarue/icon.png,081_sarue/normal.pal,081_sarue/shiny.pal,081_sarue/candidate_profile.json
82,Tuquinho,flying,Big-Beak,Arauna Amazon,"Tuquinho, the Big-Beak POKéMON, inhabits Arauna Amazon. Its Flying nature reflects Brazil's wildlife and legends.",49,46,47,45,45,55,Vista Aguçada | Vento Veloz,#083 (Level 36),Tucano-pequeno,reference-front-plus-reconstructed-back,available,082_tuquinho,082_tuquinho/anim_front.png,082_tuquinho/back.png,082_tuquinho/icon.png,082_tuquinho/normal.pal,082_tuquinho/shiny.pal,082_tuquinho/candidate_profile.json
83,Aracari,flying/grass,Big-Beak,Arauna Amazon,"Found in Arauna Amazon, Aracari is known as the Big-Beak POKéMON. It carries a distinct Flying/Grass affinity.",82,103,86,95,90,95,Vista Aguçada | Vento Veloz,,Aracari-castanho,reference-front-plus-reconstructed-back,available,083_aracari,083_aracari/anim_front.png,083_aracari/back.png,083_aracari/icon.png,083_aracari/normal.pal,083_aracari/shiny.pal,083_aracari/candidate_profile.json
84,Curicaca,flying/normal,Raucous,Arauna Pantanal,"Curicaca lives in Arauna Pantanal. This Flying/Normal POKéMON embodies a part of Brazil's nature, folklore, or culture.",73,77,72,75,72,78,Vista Aguçada | Vento Veloz,,Ave gritalhona,reference-front-plus-reconstructed-back,available,084_curicaca,084_curicaca/anim_front.png,084_curicaca/back.png,084_curicaca/icon.png,084_curicaca/normal.pal,084_curicaca/shiny.pal,084_curicaca/candidate_profile.json
85,Sapim,water,Tadpole,Arauna Rivers,"Sapim, the Tadpole POKéMON, inhabits Arauna Rivers. Its Water nature reflects Brazil's wildlife and legends.",50,45,47,45,45,55,Torrente | Corpo Molhado,#086 (Level 22),Girino,reference-front-plus-reconstructed-back,available,085_sapim,085_sapim/anim_front.png,085_sapim/back.png,085_sapim/icon.png,085_sapim/normal.pal,085_sapim/shiny.pal,085_sapim/candidate_profile.json
86,Sapão,water/poison,Toad,Arauna Cerrado,"Found in Arauna Cerrado, Sapão is known as the Toad POKéMON. It carries a distinct Water/Poison affinity.",63,74,64,65,65,72,Torrente | Corpo Molhado,#087 (Level 30),Sapo-cururu,reference-front-plus-reconstructed-back,available,086_sapao,086_sapao/anim_front.png,086_sapao/back.png,086_sapao/icon.png,086_sapao/normal.pal,086_sapao/shiny.pal,086_sapao/candidate_profile.json
87,Cururu,poison/ground,Toad,Arauna Cerrado,"Cururu lives in Arauna Cerrado. This Poison/Ground POKéMON embodies a part of Brazil's nature, folklore, or culture.",87,98,89,95,90,95,Ponto Cego | Corpo Fedido,,Sapo-cururu gigante,reference-front-plus-reconstructed-back,available,087_cururu,087_cururu/anim_front.png,087_cururu/back.png,087_cururu/icon.png,087_cururu/normal.pal,087_cururu/shiny.pal,087_cururu/candidate_profile.json
88,Teiuzim,normal,Lizard,Arauna Cerrado,"Teiuzim, the Lizard POKéMON, inhabits Arauna Cerrado. Its Normal nature reflects Brazil's wildlife and legends.",40,55,42,45,45,55,Faro | Placidez,#089 (Level 36),Teiú novo,reference-front-plus-reconstructed-back,available,088_teiuzim,088_teiuzim/anim_front.png,088_teiuzim/back.png,088_teiuzim/icon.png,088_teiuzim/normal.pal,088_teiuzim/shiny.pal,088_teiuzim/candidate_profile.json
89,Teiú,normal/dark,Lizard,Arauna Cerrado,"Found in Arauna Cerrado, Teiú is known as the Lizard POKéMON. It carries a distinct Normal/Dark affinity.",84,101,87,95,90,95,Faro | Placidez,,Teiú adulto,reference-front-plus-reconstructed-back,available,089_teiu,089_teiu/anim_front.png,089_teiu/back.png,089_teiu/icon.png,089_teiu/normal.pal,089_teiu/shiny.pal,089_teiu/candidate_profile.json
90,Camaleão,normal/psychic,Chameleon,Arauna Amazon,"Camaleão lives in Arauna Amazon. This Normal/Psychic POKéMON embodies a part of Brazil's nature, folklore, or culture.",75,75,73,75,72,78,Faro | Placidez,,Camaleão brasileiro,reference-front-plus-reconstructed-back,available,090_camaleao,090_camaleao/anim_front.png,090_camaleao/back.png,090_camaleao/icon.png,090_camaleao/normal.pal,090_camaleao/shiny.pal,090_camaleao/candidate_profile.json
91,Morcim,flying,Nocturnal,Arauna Caves,"Morcim, the Nocturnal POKéMON, inhabits Arauna Caves. Its Flying nature reflects Brazil's wildlife and legends.",41,54,43,45,45,55,Vista Aguçada | Vento Veloz,#092 (Level 22),Morcego filhote,reference-front-plus-reconstructed-back,available,091_morcim,091_morcim/anim_front.png,091_morcim/back.png,091_morcim/icon.png,091_morcim/normal.pal,091_morcim/shiny.pal,091_morcim/candidate_profile.json
92,Morcego,flying/psychic,Echolocator,Arauna Caves,"Found in Arauna Caves, Morcego is known as the Echolocator POKéMON. It carries a distinct Flying/Psychic affinity.",65,72,65,65,65,72,Vista Aguçada | Vento Veloz,#093 (Level 30),Morcego adulto,reference-front-plus-reconstructed-back,available,092_morcego,092_morcego/anim_front.png,092_morcego/back.png,092_morcego/icon.png,092_morcego/normal.pal,092_morcego/shiny.pal,092_morcego/candidate_profile.json
93,Vampiro,flying/dark,Vampire,Arauna Caves,"Vampiro lives in Arauna Caves. This Flying/Dark POKéMON embodies a part of Brazil's nature, folklore, or culture.",89,96,90,95,90,95,Vista Aguçada | Vento Veloz,,Morcego-vampiro,reference-front-plus-reconstructed-back,available,093_vampiro,093_vampiro/anim_front.png,093_vampiro/back.png,093_vampiro/icon.png,093_vampiro/normal.pal,093_vampiro/shiny.pal,093_vampiro/candidate_profile.json
94,Piuiuim,flying,One-Legged,Arauna Pantanal,"Piuiuim, the One-Legged POKéMON, inhabits Arauna Pantanal. Its Flying nature reflects Brazil's wildlife and legends.",42,53,43,45,45,55,Vista Aguçada | Vento Veloz,#095 (Level 36),Ave-perneta filhote,reference-front-plus-reconstructed-back,available,094_piuiuim,094_piuiuim/anim_front.png,094_piuiuim/back.png,094_piuiuim/icon.png,094_piuiuim/normal.pal,094_piuiuim/shiny.pal,094_piuiuim/candidate_profile.json
95,Tuiuiú,flying/water,Spoonbill,Arauna Pantanal,"Found in Arauna Pantanal, Tuiuiú is known as the Spoonbill POKéMON. It carries a distinct Flying/Water affinity.",86,99,88,95,90,95,Vista Aguçada | Vento Veloz,,Tuiuiú adulto,reference-front-plus-reconstructed-back,available,095_tuiuiu,095_tuiuiu/anim_front.png,095_tuiuiu/back.png,095_tuiuiu/icon.png,095_tuiuiu/normal.pal,095_tuiuiu/shiny.pal,095_tuiuiu/candidate_profile.json
96,Colhereiro,flying/fairy,Spoonbill,Arauna Pantanal,"Colhereiro lives in Arauna Pantanal. This Flying/Fairy POKéMON embodies a part of Brazil's nature, folklore, or culture.",77,73,74,75,72,78,Vista Aguçada | Vento Veloz,,Colhereiro rosa,reference-front-plus-reconstructed-back,available,096_colhereiro,096_colhereiro/anim_front.png,096_colhereiro/back.png,096_colhereiro/icon.png,096_colhereiro/normal.pal,096_colhereiro/shiny.pal,096_colhereiro/candidate_profile.json
97,Mulinha,normal,Mount,Arauna Cerrado,"Mulinha, the Mount POKéMON, inhabits Arauna Cerrado. Its Normal nature reflects Brazil's wildlife and legends.",43,52,44,45,45,55,Faro | Placidez,#098 (Level 22),Mula filhote,reference-front-plus-reconstructed-back,available,097_mulinha,097_mulinha/anim_front.png,097_mulinha/back.png,097_mulinha/icon.png,097_mulinha/normal.pal,097_mulinha/shiny.pal,097_mulinha/candidate_profile.json
98,Mula,normal/fire,Runner,Arauna Cerrado,"Found in Arauna Cerrado, Mula is known as the Runner POKéMON. It carries a distinct Normal/Fire affinity.",67,70,66,65,65,72,Faro | Placidez,#099 (Level 30),Mula adulta,reference-front-plus-reconstructed-back,available,098_mula,098_mula/anim_front.png,098_mula/back.png,098_mula/icon.png,098_mula/normal.pal,098_mula/shiny.pal,098_mula/candidate_profile.json
99,Mula-sem-Cabeça,fire/ghost,Cursed,Arauna Cerrado,"Mula-sem-Cabeça lives in Arauna Cerrado. This Fire/Ghost POKéMON embodies a part of Brazil's nature, folklore, or culture.",80,105,85,95,90,95,Chama | Corpo Flamejante,,Espectro amaldiçoado,reference-front-plus-reconstructed-back,available,099_mula-sem-cabeca,099_mula-sem-cabeca/anim_front.png,099_mula-sem-cabeca/back.png,099_mula-sem-cabeca/icon.png,099_mula-sem-cabeca/normal.pal,099_mula-sem-cabeca/shiny.pal,099_mula-sem-cabeca/candidate_profile.json
100,Corcovado,rock/dragon,Mountain,Arauna Highlands,"Corcovado, the Mountain POKéMON, inhabits Arauna Highlands. Its Rock/Dragon nature reflects Brazil's wildlife and legends.",94,111,94,110,100,95,Corpo Rochoso | Poeira,,Espírito da montanha,reference-front-plus-reconstructed-back,available,100_corcovado,100_corcovado/anim_front.png,100_corcovado/back.png,100_corcovado/icon.png,100_corcovado/normal.pal,100_corcovado/shiny.pal,100_corcovado/candidate_profile.json
101,Cerválo,normal,Deer,Arauna Caatinga,"Found in Arauna Caatinga, Cerválo is known as the Deer POKéMON. It carries a distinct Normal affinity.",48,47,46,45,45,55,Faro | Placidez,#102 (Level 40),Veado-catingueiro filhote,reference-front-plus-reconstructed-back,available,101_cervalo,101_cervalo/anim_front.png,101_cervalo/back.png,101_cervalo/icon.png,101_cervalo/normal.pal,101_cervalo/shiny.pal,101_cervalo/candidate_profile.json
102,Catingueiro,normal/grass,Deer,Arauna Caatinga,"Catingueiro lives in Arauna Caatinga. This Normal/Grass POKéMON embodies a part of Brazil's nature, folklore, or culture.",81,104,86,95,90,95,Faro | Placidez,,Veado adulto,reference-front-plus-reconstructed-back,available,102_catingueiro,102_catingueiro/anim_front.png,102_catingueiro/back.png,102_catingueiro/icon.png,102_catingueiro/normal.pal,102_catingueiro/shiny.pal,102_catingueiro/candidate_profile.json
103,Suçuapara,normal/fighting,Deer,Arauna Atlantic Forest,"Suçuapara, the Deer POKéMON, inhabits Arauna Atlantic Forest. Its Normal/Fighting nature reflects Brazil's wildlife and legends.",72,78,72,75,72,78,Faro | Placidez,,Veado-mateiro gigante,reference-front-plus-reconstructed-back,available,103_sucuapara,103_sucuapara/anim_front.png,103_sucuapara/back.png,103_sucuapara/icon.png,103_sucuapara/normal.pal,103_sucuapara/shiny.pal,103_sucuapara/candidate_profile.json
104,Cabocim,water,Aquatic,Arauna Rivers,"Found in Arauna Rivers, Cabocim is known as the Aquatic POKéMON. It carries a distinct Water affinity.",49,46,47,45,45,55,Torrente | Corpo Molhado,#105 (Level 30),Caboclo d'água filhote,reference-front-plus-reconstructed-back,available,104_cabocim,104_cabocim/anim_front.png,104_cabocim/back.png,104_cabocim/icon.png,104_cabocim/normal.pal,104_cabocim/shiny.pal,104_cabocim/candidate_profile.json
105,Caboclo,water/fighting,Aquatic,Arauna Rivers,"Caboclo lives in Arauna Rivers. This Water/Fighting POKéMON embodies a part of Brazil's nature, folklore, or culture.",82,103,86,95,90,95,Torrente | Corpo Molhado,,Caboclo d'água,reference-front-plus-reconstructed-back,available,105_caboclo,105_caboclo/anim_front.png,105_caboclo/back.png,105_caboclo/icon.png,105_caboclo/normal.pal,105_caboclo/shiny.pal,105_caboclo/candidate_profile.json
106,Cangaço,dark/flying,Bandit,Arauna Caatinga,"Cangaço, the Bandit POKéMON, inhabits Arauna Caatinga. Its Dark/Flying nature reflects Brazil's wildlife and legends.",73,77,72,75,72,78,Intimidação | Cara de Mau,,Ave cangaceira,reference-front-plus-reconstructed-back,available,106_cangaco,106_cangaco/anim_front.png,106_cangaco/back.png,106_cangaco/icon.png,106_cangaco/normal.pal,106_cangaco/shiny.pal,106_cangaco/candidate_profile.json
107,Xangô,electric/fighting,Thunder,Arauna Highlands,"Found in Arauna Highlands, Xangô is known as the Thunder POKéMON. It carries a distinct Electric/Fighting affinity.",77,73,74,75,72,78,Estática | Motor Elétrico,,Espírito do trovão,reference-front-plus-reconstructed-back,available,107_xango,107_xango/anim_front.png,107_xango/back.png,107_xango/icon.png,107_xango/normal.pal,107_xango/shiny.pal,107_xango/candidate_profile.json
108,Iemanjá,water/fairy,Water-Mother,Arauna Coast,"Iemanjá lives in Arauna Coast. This Water/Fairy POKéMON embodies a part of Brazil's nature, folklore, or culture.",93,112,94,110,100,95,Torrente | Corpo Molhado,,Espírito do mar,reference-front-plus-reconstructed-back,available,108_iemanja,108_iemanja/anim_front.png,108_iemanja/back.png,108_iemanja/icon.png,108_iemanja/normal.pal,108_iemanja/shiny.pal,108_iemanja/candidate_profile.json
109,Oxum,water/fairy,Queen,Arauna Rivers,"Oxum, the Queen POKéMON, inhabits Arauna Rivers. Its Water/Fairy nature reflects Brazil's wildlife and legends.",97,108,96,110,100,95,Torrente | Corpo Molhado,,Espírito dos rios,reference-front-plus-reconstructed-back,available,109_oxum,109_oxum/anim_front.png,109_oxum/back.png,109_oxum/icon.png,109_oxum/normal.pal,109_oxum/shiny.pal,109_oxum/candidate_profile.json
110,Ogum,steel/fire,Warrior,Arauna Highlands,"Found in Arauna Highlands, Ogum is known as the Warrior POKéMON. It carries a distinct Steel/Fire affinity.",90,115,92,110,100,95,Corpo Metálico | Ponto Fraco,,Espírito da forja,reference-front-plus-reconstructed-back,available,110_ogum,110_ogum/anim_front.png,110_ogum/back.png,110_ogum/icon.png,110_ogum/normal.pal,110_ogum/shiny.pal,110_ogum/candidate_profile.json
111,Cavalim,normal,Runner,Arauna Pampas,"Cavalim lives in Arauna Pampas. This Normal POKéMON embodies a part of Brazil's nature, folklore, or culture.",44,51,44,45,45,55,Faro | Placidez,#112 (Level 34),Potro selvagem,reference-front-plus-reconstructed-back,available,111_cavalim,111_cavalim/anim_front.png,111_cavalim/back.png,111_cavalim/icon.png,111_cavalim/normal.pal,111_cavalim/shiny.pal,111_cavalim/candidate_profile.json
112,Cavalgado,normal/fighting,Runner,Arauna Pampas,"Cavalgado, the Runner POKéMON, inhabits Arauna Pampas. Its Normal/Fighting nature reflects Brazil's wildlife and legends.",88,97,89,95,90,95,Faro | Placidez,,Cavalo pampa,reference-front-plus-reconstructed-back,available,112_cavalgado,112_cavalgado/anim_front.png,112_cavalgado/back.png,112_cavalgado/icon.png,112_cavalgado/normal.pal,112_cavalgado/shiny.pal,112_cavalgado/candidate_profile.json
113,Zebuim,normal,Ox,Arauna Pampas,"Found in Arauna Pampas, Zebuim is known as the Ox POKéMON. It carries a distinct Normal affinity.",41,54,43,45,45,55,Faro | Placidez,#114 (Level 40),Boi zebu filhote,reference-front-plus-reconstructed-back,available,113_zebuim,113_zebuim/anim_front.png,113_zebuim/back.png,113_zebuim/icon.png,113_zebuim/normal.pal,113_zebuim/shiny.pal,113_zebuim/candidate_profile.json
114,Zebu,normal/fighting,Ox,Arauna Pampas,"Zebu lives in Arauna Pampas. This Normal/Fighting POKéMON embodies a part of Brazil's nature, folklore, or culture.",85,100,88,95,90,95,Faro | Placidez,,Boi zebu adulto,reference-front-plus-reconstructed-back,available,114_zebu,114_zebu/anim_front.png,114_zebu/back.png,114_zebu/icon.png,114_zebu/normal.pal,114_zebu/shiny.pal,114_zebu/candidate_profile.json
115,Ovelhinha,normal/fairy,Wool,Arauna Pampas,"Ovelhinha, the Wool POKéMON, inhabits Arauna Pampas. Its Normal/Fairy nature reflects Brazil's wildlife and legends.",76,74,74,75,72,78,Faro | Placidez,,Ovelha crioula,reference-front-plus-reconstructed-back,available,115_ovelhinha,115_ovelhinha/anim_front.png,115_ovelhinha/back.png,115_ovelhinha/icon.png,115_ovelhinha/normal.pal,115_ovelhinha/shiny.pal,115_ovelhinha/candidate_profile.json
116,Cabrita,normal/rock,Goat,Arauna Caatinga,"Found in Arauna Caatinga, Cabrita is known as the Goat POKéMON. It carries a distinct Normal/Rock affinity.",69,81,70,75,72,78,Faro | Placidez,,Cabra-do-sertão,reference-front-plus-reconstructed-back,available,116_cabrita,116_cabrita/anim_front.png,116_cabrita/back.png,116_cabrita/icon.png,116_cabrita/normal.pal,116_cabrita/shiny.pal,116_cabrita/candidate_profile.json
117,Chocalhão,poison,Rattle,Arauna Caatinga,"Chocalhão lives in Arauna Caatinga. This Poison POKéMON embodies a part of Brazil's nature, folklore, or culture.",46,49,45,45,45,55,Ponto Cego | Corpo Fedido,#118 (Level 34),Cascavel filhote,reference-front-plus-reconstructed-back,available,117_chocalhao,117_chocalhao/anim_front.png,117_chocalhao/back.png,117_chocalhao/icon.png,117_chocalhao/normal.pal,117_chocalhao/shiny.pal,117_chocalhao/candidate_profile.json
118,Cascavelim,poison,Rattle,Arauna Caatinga,"Cascavelim, the Rattle POKéMON, inhabits Arauna Caatinga. Its Poison nature reflects Brazil's wildlife and legends.",70,67,67,65,65,72,Ponto Cego | Corpo Fedido,#119 (Level 36),Cascavel juvenil,reference-front-plus-reconstructed-back,available,118_cascavelim,118_cascavelim/anim_front.png,118_cascavelim/back.png,118_cascavelim/icon.png,118_cascavelim/normal.pal,118_cascavelim/shiny.pal,118_cascavelim/candidate_profile.json
119,Cascavão,poison/dark,Rattle,Arauna Caatinga,"Found in Arauna Caatinga, Cascavão is known as the Rattle POKéMON. It carries a distinct Poison/Dark affinity.",83,102,87,95,90,95,Ponto Cego | Corpo Fedido,,Cascavel adulta,reference-front-plus-reconstructed-back,available,119_cascavao,119_cascavao/anim_front.png,119_cascavao/back.png,119_cascavao/icon.png,119_cascavao/normal.pal,119_cascavao/shiny.pal,119_cascavao/candidate_profile.json
120,Jararaca,poison/grass,Ambush,Arauna Atlantic Forest,"Jararaca lives in Arauna Atlantic Forest. This Poison/Grass POKéMON embodies a part of Brazil's nature, folklore, or culture.",74,76,73,75,72,78,Ponto Cego | Corpo Fedido,,Jararaca-ilhoa,reference-front-plus-reconstructed-back,available,120_jararaca,120_jararaca/anim_front.png,120_jararaca/back.png,120_jararaca/icon.png,120_jararaca/normal.pal,120_jararaca/shiny.pal,120_jararaca/candidate_profile.json
121,Pirarim,water,Giant,Arauna Amazon,"Pirarim, the Giant POKéMON, inhabits Arauna Amazon. Its Water nature reflects Brazil's wildlife and legends.",40,55,42,45,45,55,Torrente | Corpo Molhado,#122 (Level 22),Pirarucu filhote,reference-front-plus-reconstructed-back,available,121_pirarim,121_pirarim/anim_front.png,121_pirarim/back.png,121_pirarim/icon.png,121_pirarim/normal.pal,121_pirarim/shiny.pal,121_pirarim/candidate_profile.json
122,Pirarucu,water/dragon,Giant,Arauna Amazon,"Found in Arauna Amazon, Pirarucu is known as the Giant POKéMON. It carries a distinct Water/Dragon affinity.",84,101,87,95,90,95,Torrente | Corpo Molhado,,Pirarucu adulto,reference-front-plus-reconstructed-back,available,122_pirarucu,122_pirarucu/anim_front.png,122_pirarucu/back.png,122_pirarucu/icon.png,122_pirarucu/normal.pal,122_pirarucu/shiny.pal,122_pirarucu/candidate_profile.json
